resource_id,title,original_url,resolved_url,http_status,attempt_count,current_bytes,expected_bytes,error_code,error_message,final_classification,recommended_action
BL-IE-028BA24399B5,Yama Niyama Brahmachari – Christmas is not on the Vaishnava calendar.docx,https://iskconeducation.org/media_library_old/Yama20Niyama20Brahmachari20-20Christmas20is20not20on20the20Vaishnava20calendar.docx,https://iskconeducation.org/media_library_old/Yama20Niyama20Brahmachari20-20Christmas20is20not20on20the20Vaishnava20calendar.docx,200,4,30219,27491,HTML_FOR_DOCUMENT,HTML content-type for document URL (text/html),terminal-manual-review,Needs manual review
BL-IE-02966FDD3484,BhaktivinodaThakur20-I have who has.xlsx,https://iskconeducation.org/media_library_old/BhaktivinodaThakur20-I20have20who20has.xlsx,https://iskconeducation.org/media_library_old/BhaktivinodaThakur20-I20have20who20has.xlsx,200,4,366147,46557,HTML_FOR_DOCUMENT,HTML content-type for document URL (text/html),terminal-manual-review,Needs manual review
BL-IE-1E204BCBFA67,1996 curriculum correspondence – curriculum topics – songs by grade level – etiquette.pdf,https://iskconeducation.org/media_library_old/199620curriculum20correspondence20-20curriculum20topics20-20songs20by20grade20level20-20etiquette.pdf,https://iskconeducation.org/media_library_old/199620curriculum20correspondence20-20curriculum20topics20-20songs20by20grade20level20-20etiquette.pdf,200,3,0,0,,,source-empty,Remote returns empty body / Content-Length 0
BL-IE-252DB8084843,KC Christmas Carols for 80s Xmas marathons.pdf,https://iskconeducation.org/media_library_old/KC20Christmas20Carols20for2080s20Xmas20marathons.pdf,https://iskconeducation.org/media_library_old/KC20Christmas20Carols20for2080s20Xmas20marathons.pdf,200,3,0,0,,,source-empty,Remote returns empty body / Content-Length 0
BL-IE-27187455EA4C,Children&#039;s Songs – Advent of Krishna.pdf,https://iskconeducation.org/media_library_old/Children27s20Songs20-20Advent20of20Krishna.pdf,https://iskconeducation.org/media_library_old/Children27s20Songs20-20Advent20of20Krishna.pdf,200,3,0,0,,,source-empty,Remote returns empty body / Content-Length 0
BL-IE-34F4E8F53A1B,Children&#039;s songs – Misc.pdf,https://iskconeducation.org/media_library_old/Children27s20songs20-20Misc.pdf,https://iskconeducation.org/media_library_old/Children27s20songs20-20Misc.pdf,200,3,0,0,,,source-empty,Remote returns empty body / Content-Length 0
BL-IE-356A665D8898,Krsna poems by North Carolina gurukula.pdf,https://iskconeducation.org/media_library_old/Krsna20poems20by20North20Carolina20gurukula.pdf,https://iskconeducation.org/media_library_old/Krsna20poems20by20North20Carolina20gurukula.pdf,200,3,0,0,,,source-empty,Remote returns empty body / Content-Length 0
BL-IE-392C9045301C,Krishna Pastime lyrics – Advent of Lord Krishna – Yamini.docx,https://iskconeducation.org/media_library_old/Krishna20Pastime20lyrics20-20Advent20of20Lord20Krishna20-20Yamini.docx,https://iskconeducation.org/media_library_old/Krishna20Pastime20lyrics20-20Advent20of20Lord20Krishna20-20Yamini.docx,200,4,18569,15769,HTML_FOR_DOCUMENT,HTML content-type for document URL (text/html),terminal-manual-review,Needs manual review
BL-IE-426A6E0311FA,Children&#039;s songs – Pastimes of Chaitanya Mahaprabhu.pdf,https://iskconeducation.org/media_library_old/Children27s20songs20-20Pastimes20of20Chaitanya20Mahaprabhu.pdf,https://iskconeducation.org/media_library_old/Children27s20songs20-20Pastimes20of20Chaitanya20Mahaprabhu.pdf,200,3,0,0,,,source-empty,Remote returns empty body / Content-Length 0
BL-IE-47E50CC62FEE,Krishna Pastimes lyrics – Govardhana Puja – Yamini.docx,https://iskconeducation.org/media_library_old/Krishna20Pastimes20lyrics20-20Govardhana20Puja20-20Yamini.docx,https://iskconeducation.org/media_library_old/Krishna20Pastimes20lyrics20-20Govardhana20Puja20-20Yamini.docx,200,4,16107,13297,HTML_FOR_DOCUMENT,HTML content-type for document URL (text/html),terminal-manual-review,Needs manual review
